"","size","node","ancestor","time","species","OU.1","OU.LP","OU.4","OU.15"
"1",NA,1,NA,0,NA,"ns","medium","medium","anc"
"2",NA,2,1,12,NA,"ns","medium","medium","anc"
"3",NA,3,2,32,NA,"ns","small","small","anc"
"4",NA,4,3,34,NA,"ns","small","small","anc"
"5",NA,5,4,36,NA,"ns","small","small","anc"
"6",NA,6,3,36,NA,"ns","small","small","anc"
"7",NA,7,1,8,NA,"ns","medium","medium","anc"
"8",NA,8,7,13,NA,"ns","medium","medium","anc"
"9",NA,9,8,18,NA,"ns","large","large","anc"
"10",NA,10,9,23,NA,"ns","large","large","anc"
"11",NA,11,10,28,NA,"ns","large","large","anc"
"12",NA,12,9,28,NA,"ns","large","large","anc"
"13",NA,13,8,22,NA,"ns","medium","fourth","anc"
"14",NA,14,13,26,NA,"ns","medium","fourth","anc"
"15",NA,15,14,34,NA,"ns","medium","fourth","anc"
"16",NA,16,15,36,NA,"ns","medium","fourth","anc"
"17",NA,17,7,28,NA,"ns","medium","medium","anc"
"18",NA,18,17,30,NA,"ns","medium","medium","anc"
"19",NA,19,18,34,NA,"ns","medium","medium","anc"
"20",NA,20,19,36,NA,"ns","medium","medium","anc"
"21",NA,21,20,37,NA,"ns","medium","medium","anc"
"22",NA,22,19,36,NA,"ns","medium","medium","anc"
"23",13.5,23,2,38,"po","ns","small","small","small"
"24",14.3,24,4,38,"se","ns","small","small","small"
"25",14.3,25,5,38,"sc","ns","small","small","small"
"26",14.2,26,5,38,"sn","ns","small","small","small"
"27",14.5,27,6,38,"wb","ns","small","small","small"
"28",14.9,28,6,38,"wa","ns","small","small","small"
"29",23.6,29,10,38,"be","ns","large","large","large"
"30",27.1,30,11,38,"bn","ns","large","large","large"
"31",27.9,31,11,38,"bc","ns","large","large","large"
"32",28.6,32,12,38,"lb","ns","large","large","large"
"33",28.8,33,12,38,"la","ns","large","large","large"
"34",21.1,34,13,38,"nu","ns","medium","fourth","medium"
"35",18.3,35,14,38,"sa","ns","medium","fourth","35"
"36",19.7,36,15,38,"gb","ns","medium","fourth","36"
"37",18.8,37,16,38,"ga","ns","medium","fourth","37"
"38",19.6,38,16,38,"gm","ns","large","fourth","38"
"39",22.3,39,17,38,"oc","ns","medium","medium","39"
"40",28.4,40,18,38,"fe","ns","medium","medium","40"
"41",18.7,41,20,38,"li","ns","medium","medium","41"
"42",18.9,42,21,38,"mg","ns","medium","medium","42"
"43",19.9,43,21,38,"md","ns","medium","medium","43"
"44",21.3,44,22,38,"t1","ns","medium","medium","44"
"45",21.5,45,22,38,"t2","ns","medium","medium","45"
